round,session_id,emergency_walkin,emergency_ambulance,surgery,critical_care,step_down
1,0,3,1,2,1,0
2,0,9,1,2,0,0
3,0,7,1,3,1,0
4,0,5,2,0,0,3
5,0,9,3,2,0,0
6,0,9,3,1,0,1
7,0,5,1,0,0,2
8,0,3,0,0,1,0
9,0,4,3,0,0,1
10,0,2,3,0,0,1
11,0,6,1,0,0,0
12,0,3,3,1,0,0
13,0,6,4,0,0,0
14,0,4,0,0,0,0
15,0,6,2,0,0,0
16,0,7,2,0,0,0
17,0,2,0,0,0,0
18,0,2,2,0,0,0
19,0,2,1,0,0,0
20,0,4,1,0,0,1
21,0,1,1,0,1,0
22,0,2,0,0,0,0
23,0,2,1,0,0,0
1,1,4,1,1,0,0
2,1,5,1,1,2,2
3,1,5,0,2,1,1
4,1,6,0,1,1,3
5,1,3,1,1,0,1
6,1,2,2,3,1,2
7,1,0,0,0,0,2
8,1,4,2,2,0,2
9,1,6,0,2,0,2
10,1,7,1,0,0,3
11,1,4,4,0,0,0
12,1,4,1,0,0,0
13,1,1,3,0,0,0
14,1,5,3,0,0,0
15,1,6,1,1,0,0
16,1,8,0,0,0,0
17,1,5,0,0,0,0
18,1,2,0,0,0,0
19,1,5,0,1,0,0
20,1,1,1,0,0,0
21,1,7,2,0,0,1
22,1,6,1,0,0,0
23,1,4,1,0,0,0
1,2,6,0,1,1,0
2,2,5,2,0,2,0
3,2,3,1,1,2,0
4,2,8,0,1,1,4
5,2,4,1,0,3,4
6,2,7,2,1,0,0
7,2,5,0,0,1,0
8,2,3,2,1,0,7
9,2,3,2,0,0,1
10,2,3,3,0,0,2
11,2,5,1,0,0,0
12,2,8,3,0,0,0
13,2,3,2,0,0,0
14,2,2,1,0,0,0
15,2,8,1,0,1,0
16,2,3,2,0,0,0
17,2,3,0,0,0,0
18,2,7,0,0,0,0
19,2,2,2,1,0,0
20,2,4,0,0,0,1
21,2,3,1,0,0,0
22,2,1,0,0,0,0
23,2,6,1,0,0,0
1,3,8,2,2,0,0
2,3,10,1,0,0,2
3,3,3,1,3,1,2
4,3,3,4,2,2,3
5,3,6,5,1,1,3
6,3,6,3,0,1,1
7,3,7,0,1,1,2
8,3,6,1,2,0,1
9,3,2,3,1,0,1
10,3,1,1,0,0,0
11,3,3,1,0,0,0
12,3,3,1,0,0,0
13,3,4,2,0,0,0
14,3,5,1,0,1,0
15,3,3,1,0,0,0
16,3,5,0,0,0,0
17,3,3,1,0,0,0
18,3,2,0,1,0,0
19,3,0,0,0,0,0
20,3,4,0,0,0,0
21,3,1,1,0,0,0
22,3,7,1,1,0,0
23,3,2,1,0,0,2
1,4,7,2,2,1,0
2,4,8,1,1,0,2
3,4,3,0,2,2,1
4,4,7,1,3,1,0
5,4,5,0,0,0,7
6,4,7,0,1,0,1
7,4,1,2,2,1,2
8,4,14,2,2,0,3
9,4,2,0,0,0,0
10,4,4,3,0,0,0
11,4,5,0,0,1,0
12,4,7,1,0,0,0
13,4,3,5,0,0,0
14,4,2,0,0,0,0
15,4,3,1,0,0,0
16,4,6,1,0,0,0
17,4,2,0,0,0,0
18,4,3,1,0,0,0
19,4,4,0,0,0,0
20,4,4,0,0,0,0
21,4,3,0,0,1,0
22,4,2,1,1,0,0
23,4,7,1,1,0,0
