replication,hour,phase,dept,dept_name,arrivals,patients,staff,beds,bed_util,staff_util,wait
1,1,early,emergency_walkin,Emergency Walk-in,2,2,7,29,0.06896551724137931,0.14285714285714285,0.17857142857142855
1,1,early,emergency_ambulance,Emergency Ambulance,1,1,1,6,0.16666666666666666,0.5,7.5
1,1,early,surgery,Surgical Care,0,0,1,5,0.0,0.0,0.0
1,1,early,critical_care,Critical Care,1,1,1,5,0.2,0.5,7.5
1,1,early,step_down,Step Down,1,1,2,6,0.16666666666666666,0.25,1.25
1,2,early,emergency_walkin,Emergency Walk-in,5,7,7,29,0.2413793103448276,0.5,1.0714285714285714
1,2,early,emergency_ambulance,Emergency Ambulance,1,2,1,6,0.3333333333333333,1.0,999.0
1,2,early,surgery,Surgical Care,2,2,1,5,0.4,1.0,999.0
1,2,early,critical_care,Critical Care,1,2,1,5,0.4,1.0,999.0
1,2,early,step_down,Step Down,2,3,2,6,0.5,0.75,11.25
1,3,early,emergency_walkin,Emergency Walk-in,4,9,7,29,0.3103448275862069,0.6428571428571429,1.9285714285714293
1,3,early,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,3,early,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
1,3,early,critical_care,Critical Care,3,5,1,5,1.0,2.5,999.0
1,3,early,step_down,Step Down,1,3,2,6,0.5,0.75,11.25
1,4,early,emergency_walkin,Emergency Walk-in,9,15,7,29,0.5172413793103449,1.0714285714285714,999.0
1,4,early,emergency_ambulance,Emergency Ambulance,0,2,1,6,0.3333333333333333,1.0,999.0
1,4,early,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,4,early,critical_care,Critical Care,0,3,1,5,0.6,1.5,999.0
1,4,early,step_down,Step Down,0,2,2,6,0.3333333333333333,0.5,3.75
1,5,early,emergency_walkin,Emergency Walk-in,9,18,7,29,0.6206896551724138,1.2857142857142858,999.0
1,5,early,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,5,early,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,5,early,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
1,5,early,step_down,Step Down,1,3,2,6,0.5,0.75,11.25
1,6,early,emergency_walkin,Emergency Walk-in,3,14,7,29,0.4827586206896552,1.0,999.0
1,6,early,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,6,early,surgery,Surgical Care,2,4,1,5,0.8,2.0,999.0
1,6,early,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
1,6,early,step_down,Step Down,1,3,2,6,0.5,0.75,11.25
1,7,early,emergency_walkin,Emergency Walk-in,3,12,7,29,0.41379310344827586,0.8571428571428571,6.428571428571425
1,7,early,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,7,early,surgery,Surgical Care,3,6,1,5,1.2,3.0,999.0
1,7,early,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
1,7,early,step_down,Step Down,2,4,2,6,0.6666666666666666,1.0,999.0
1,8,early,emergency_walkin,Emergency Walk-in,8,16,7,29,0.5517241379310345,1.1428571428571428,999.0
1,8,early,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,8,early,surgery,Surgical Care,1,5,1,5,1.0,2.5,999.0
1,8,early,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
1,8,early,step_down,Step Down,0,3,2,6,0.5,0.75,11.25
1,9,mid,emergency_walkin,Emergency Walk-in,7,17,6,29,0.5862068965517241,1.4166666666666667,999.0
1,9,mid,emergency_ambulance,Emergency Ambulance,2,4,1,6,0.6666666666666666,2.0,999.0
1,9,mid,surgery,Surgical Care,2,5,1,5,1.0,2.5,999.0
1,9,mid,critical_care,Critical Care,1,3,1,5,0.6,1.5,999.0
1,9,mid,step_down,Step Down,0,2,3,6,0.3333333333333333,0.3333333333333333,1.25
1,10,mid,emergency_walkin,Emergency Walk-in,5,16,6,29,0.5517241379310345,1.3333333333333333,999.0
1,10,mid,emergency_ambulance,Emergency Ambulance,0,3,1,6,0.5,1.5,999.0
1,10,mid,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
1,10,mid,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
1,10,mid,step_down,Step Down,2,4,3,6,0.6666666666666666,0.6666666666666666,5.0
1,11,mid,emergency_walkin,Emergency Walk-in,3,13,6,29,0.4482758620689655,1.0833333333333333,999.0
1,11,mid,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,11,mid,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,11,mid,critical_care,Critical Care,2,4,1,5,0.8,2.0,999.0
1,11,mid,step_down,Step Down,0,3,3,6,0.5,0.5,2.5
1,12,mid,emergency_walkin,Emergency Walk-in,6,14,6,29,0.4827586206896552,1.1666666666666667,999.0
1,12,mid,emergency_ambulance,Emergency Ambulance,2,4,1,6,0.6666666666666666,2.0,999.0
1,12,mid,surgery,Surgical Care,3,5,1,5,1.0,2.5,999.0
1,12,mid,critical_care,Critical Care,0,3,1,5,0.6,1.5,999.0
1,12,mid,step_down,Step Down,0,2,3,6,0.3333333333333333,0.3333333333333333,1.25
1,13,mid,emergency_walkin,Emergency Walk-in,3,12,6,29,0.41379310344827586,1.0,999.0
1,13,mid,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
1,13,mid,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
1,13,mid,critical_care,Critical Care,1,3,1,5,0.6,1.5,999.0
1,13,mid,step_down,Step Down,1,3,3,6,0.5,0.5,2.5
1,14,mid,emergency_walkin,Emergency Walk-in,7,15,6,29,0.5172413793103449,1.25,999.0
1,14,mid,emergency_ambulance,Emergency Ambulance,0,3,1,6,0.5,1.5,999.0
1,14,mid,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
1,14,mid,critical_care,Critical Care,1,3,1,5,0.6,1.5,999.0
1,14,mid,step_down,Step Down,2,4,3,6,0.6666666666666666,0.6666666666666666,5.0
1,15,mid,emergency_walkin,Emergency Walk-in,8,17,6,29,0.5862068965517241,1.4166666666666667,999.0
1,15,mid,emergency_ambulance,Emergency Ambulance,0,2,1,6,0.3333333333333333,1.0,999.0
1,15,mid,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
1,15,mid,critical_care,Critical Care,2,4,1,5,0.8,2.0,999.0
1,15,mid,step_down,Step Down,0,3,3,6,0.5,0.5,2.5
1,16,mid,emergency_walkin,Emergency Walk-in,6,17,6,29,0.5862068965517241,1.4166666666666667,999.0
1,16,mid,emergency_ambulance,Emergency Ambulance,1,3,1,6,0.5,1.5,999.0
1,16,mid,surgery,Surgical Care,3,5,1,5,1.0,2.5,999.0
1,16,mid,critical_care,Critical Care,0,3,1,5,0.6,1.5,999.0
1,16,mid,step_down,Step Down,2,4,3,6,0.6666666666666666,0.6666666666666666,5.0
1,17,late,emergency_walkin,Emergency Walk-in,2,13,7,32,0.40625,0.9285714285714286,13.928571428571436
1,17,late,emergency_ambulance,Emergency Ambulance,1,3,1,5,0.6,1.5,999.0
1,17,late,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
1,17,late,critical_care,Critical Care,1,3,1,4,0.75,1.5,999.0
1,17,late,step_down,Step Down,0,3,2,5,0.6,0.75,11.25
1,18,late,emergency_walkin,Emergency Walk-in,2,10,7,32,0.3125,0.7142857142857143,2.678571428571429
1,18,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
1,18,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,18,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
1,18,late,step_down,Step Down,1,3,2,5,0.6,0.75,11.25
1,19,late,emergency_walkin,Emergency Walk-in,4,10,7,32,0.3125,0.7142857142857143,2.678571428571429
1,19,late,emergency_ambulance,Emergency Ambulance,1,3,1,5,0.6,1.5,999.0
1,19,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,19,late,critical_care,Critical Care,1,3,1,4,0.75,1.5,999.0
1,19,late,step_down,Step Down,0,2,2,5,0.4,0.5,3.75
1,20,late,emergency_walkin,Emergency Walk-in,6,12,7,32,0.375,0.8571428571428571,6.428571428571425
1,20,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
1,20,late,surgery,Surgical Care,2,4,1,5,0.8,2.0,999.0
1,20,late,critical_care,Critical Care,1,3,1,4,0.75,1.5,999.0
1,20,late,step_down,Step Down,1,3,2,5,0.6,0.75,11.25
1,21,late,emergency_walkin,Emergency Walk-in,4,12,7,32,0.375,0.8571428571428571,6.428571428571425
1,21,late,emergency_ambulance,Emergency Ambulance,2,4,1,5,0.8,2.0,999.0
1,21,late,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
1,21,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
1,21,late,step_down,Step Down,2,4,2,5,0.8,1.0,999.0
1,22,late,emergency_walkin,Emergency Walk-in,4,12,7,32,0.375,0.8571428571428571,6.428571428571425
1,22,late,emergency_ambulance,Emergency Ambulance,0,3,1,5,0.6,1.5,999.0
1,22,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,22,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
1,22,late,step_down,Step Down,2,5,2,5,1.0,1.25,999.0
1,23,late,emergency_walkin,Emergency Walk-in,3,11,7,32,0.34375,0.7857142857142857,3.928571428571429
1,23,late,emergency_ambulance,Emergency Ambulance,1,3,1,5,0.6,1.5,999.0
1,23,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,23,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
1,23,late,step_down,Step Down,1,4,2,5,0.8,1.0,999.0
1,24,late,emergency_walkin,Emergency Walk-in,13,20,7,32,0.625,1.4285714285714286,999.0
1,24,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
1,24,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
1,24,late,critical_care,Critical Care,1,3,1,4,0.75,1.5,999.0
1,24,late,step_down,Step Down,0,3,2,5,0.6,0.75,11.25
2,1,early,emergency_walkin,Emergency Walk-in,4,4,7,29,0.13793103448275862,0.2857142857142857,0.42857142857142855
2,1,early,emergency_ambulance,Emergency Ambulance,0,0,1,6,0.0,0.0,0.0
2,1,early,surgery,Surgical Care,1,1,1,5,0.2,0.5,7.5
2,1,early,critical_care,Critical Care,0,0,1,5,0.0,0.0,0.0
2,1,early,step_down,Step Down,0,0,2,6,0.0,0.0,0.0
2,2,early,emergency_walkin,Emergency Walk-in,5,8,7,29,0.27586206896551724,0.5714285714285714,1.4285714285714284
2,2,early,emergency_ambulance,Emergency Ambulance,0,0,1,6,0.0,0.0,0.0
2,2,early,surgery,Surgical Care,1,2,1,5,0.4,1.0,999.0
2,2,early,critical_care,Critical Care,0,0,1,5,0.0,0.0,0.0
2,2,early,step_down,Step Down,2,2,2,6,0.3333333333333333,0.5,3.75
2,3,early,emergency_walkin,Emergency Walk-in,2,7,7,29,0.2413793103448276,0.5,1.0714285714285714
2,3,early,emergency_ambulance,Emergency Ambulance,0,0,1,6,0.0,0.0,0.0
2,3,early,surgery,Surgical Care,2,4,1,5,0.8,2.0,999.0
2,3,early,critical_care,Critical Care,0,0,1,5,0.0,0.0,0.0
2,3,early,step_down,Step Down,2,4,2,6,0.6666666666666666,1.0,999.0
2,4,early,emergency_walkin,Emergency Walk-in,7,12,7,29,0.41379310344827586,0.8571428571428571,6.428571428571425
2,4,early,emergency_ambulance,Emergency Ambulance,1,1,1,6,0.16666666666666666,0.5,7.5
2,4,early,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
2,4,early,critical_care,Critical Care,0,0,1,5,0.0,0.0,0.0
2,4,early,step_down,Step Down,1,4,2,6,0.6666666666666666,1.0,999.0
2,5,early,emergency_walkin,Emergency Walk-in,4,12,7,29,0.41379310344827586,0.8571428571428571,6.428571428571425
2,5,early,emergency_ambulance,Emergency Ambulance,3,4,1,6,0.6666666666666666,2.0,999.0
2,5,early,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
2,5,early,critical_care,Critical Care,1,1,1,5,0.2,0.5,7.5
2,5,early,step_down,Step Down,1,4,2,6,0.6666666666666666,1.0,999.0
2,6,early,emergency_walkin,Emergency Walk-in,1,9,7,29,0.3103448275862069,0.6428571428571429,1.9285714285714293
2,6,early,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
2,6,early,surgery,Surgical Care,2,4,1,5,0.8,2.0,999.0
2,6,early,critical_care,Critical Care,0,1,1,5,0.2,0.5,7.5
2,6,early,step_down,Step Down,3,6,2,6,1.0,1.5,999.0
2,7,early,emergency_walkin,Emergency Walk-in,5,11,7,29,0.3793103448275862,0.7857142857142857,3.928571428571429
2,7,early,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
2,7,early,surgery,Surgical Care,3,6,1,5,1.2,3.0,999.0
2,7,early,critical_care,Critical Care,1,2,1,5,0.4,1.0,999.0
2,7,early,step_down,Step Down,0,4,2,6,0.6666666666666666,1.0,999.0
2,8,early,emergency_walkin,Emergency Walk-in,7,14,7,29,0.4827586206896552,1.0,999.0
2,8,early,emergency_ambulance,Emergency Ambulance,3,6,1,6,1.0,3.0,999.0
2,8,early,surgery,Surgical Care,2,6,1,5,1.2,3.0,999.0
2,8,early,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
2,8,early,step_down,Step Down,0,3,2,6,0.5,0.75,11.25
2,9,mid,emergency_walkin,Emergency Walk-in,6,15,6,29,0.5172413793103449,1.25,999.0
2,9,mid,emergency_ambulance,Emergency Ambulance,1,5,1,6,0.8333333333333334,2.5,999.0
2,9,mid,surgery,Surgical Care,1,5,1,5,1.0,2.5,999.0
2,9,mid,critical_care,Critical Care,2,4,1,5,0.8,2.0,999.0
2,9,mid,step_down,Step Down,0,2,3,6,0.3333333333333333,0.3333333333333333,1.25
2,10,mid,emergency_walkin,Emergency Walk-in,4,13,6,29,0.4482758620689655,1.0833333333333333,999.0
2,10,mid,emergency_ambulance,Emergency Ambulance,2,5,1,6,0.8333333333333334,2.5,999.0
2,10,mid,surgery,Surgical Care,1,4,1,5,0.8,2.0,999.0
2,10,mid,critical_care,Critical Care,0,3,1,5,0.6,1.5,999.0
2,10,mid,step_down,Step Down,0,2,3,6,0.3333333333333333,0.3333333333333333,1.25
2,11,mid,emergency_walkin,Emergency Walk-in,2,10,6,29,0.3448275862068966,0.8333333333333334,6.250000000000002
2,11,mid,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
2,11,mid,surgery,Surgical Care,1,4,1,5,0.8,2.0,999.0
2,11,mid,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
2,11,mid,step_down,Step Down,0,2,3,6,0.3333333333333333,0.3333333333333333,1.25
2,12,mid,emergency_walkin,Emergency Walk-in,8,14,6,29,0.4827586206896552,1.1666666666666667,999.0
2,12,mid,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
2,12,mid,surgery,Surgical Care,2,5,1,5,1.0,2.5,999.0
2,12,mid,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
2,12,mid,step_down,Step Down,2,4,3,6,0.6666666666666666,0.6666666666666666,5.0
2,13,mid,emergency_walkin,Emergency Walk-in,3,12,6,29,0.41379310344827586,1.0,999.0
2,13,mid,emergency_ambulance,Emergency Ambulance,2,5,1,6,0.8333333333333334,2.5,999.0
2,13,mid,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
2,13,mid,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
2,13,mid,step_down,Step Down,1,4,3,6,0.6666666666666666,0.6666666666666666,5.0
2,14,mid,emergency_walkin,Emergency Walk-in,7,15,6,29,0.5172413793103449,1.25,999.0
2,14,mid,emergency_ambulance,Emergency Ambulance,3,6,1,6,1.0,3.0,999.0
2,14,mid,surgery,Surgical Care,3,5,1,5,1.0,2.5,999.0
2,14,mid,critical_care,Critical Care,1,3,1,5,0.6,1.5,999.0
2,14,mid,step_down,Step Down,1,4,3,6,0.6666666666666666,0.6666666666666666,5.0
2,15,mid,emergency_walkin,Emergency Walk-in,10,19,6,29,0.6551724137931034,1.5833333333333333,999.0
2,15,mid,emergency_ambulance,Emergency Ambulance,1,5,1,6,0.8333333333333334,2.5,999.0
2,15,mid,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
2,15,mid,critical_care,Critical Care,0,2,1,5,0.4,1.0,999.0
2,15,mid,step_down,Step Down,0,3,3,6,0.5,0.5,2.5
2,16,mid,emergency_walkin,Emergency Walk-in,7,19,6,29,0.6551724137931034,1.5833333333333333,999.0
2,16,mid,emergency_ambulance,Emergency Ambulance,1,4,1,6,0.6666666666666666,2.0,999.0
2,16,mid,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
2,16,mid,critical_care,Critical Care,2,4,1,5,0.8,2.0,999.0
2,16,mid,step_down,Step Down,1,3,3,6,0.5,0.5,2.5
2,17,late,emergency_walkin,Emergency Walk-in,7,19,7,32,0.59375,1.3571428571428572,999.0
2,17,late,emergency_ambulance,Emergency Ambulance,0,3,1,5,0.6,1.5,999.0
2,17,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
2,17,late,critical_care,Critical Care,0,3,1,4,0.75,1.5,999.0
2,17,late,step_down,Step Down,0,2,2,5,0.4,0.5,3.75
2,18,late,emergency_walkin,Emergency Walk-in,1,13,7,32,0.40625,0.9285714285714286,13.928571428571436
2,18,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
2,18,late,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
2,18,late,critical_care,Critical Care,1,3,1,4,0.75,1.5,999.0
2,18,late,step_down,Step Down,1,3,2,5,0.6,0.75,11.25
2,19,late,emergency_walkin,Emergency Walk-in,4,12,7,32,0.375,0.8571428571428571,6.428571428571425
2,19,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
2,19,late,surgery,Surgical Care,2,4,1,5,0.8,2.0,999.0
2,19,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
2,19,late,step_down,Step Down,3,5,2,5,1.0,1.25,999.0
2,20,late,emergency_walkin,Emergency Walk-in,6,14,7,32,0.4375,1.0,999.0
2,20,late,emergency_ambulance,Emergency Ambulance,1,3,1,5,0.6,1.5,999.0
2,20,late,surgery,Surgical Care,1,4,1,5,0.8,2.0,999.0
2,20,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
2,20,late,step_down,Step Down,1,4,2,5,0.8,1.0,999.0
2,21,late,emergency_walkin,Emergency Walk-in,5,14,7,32,0.4375,1.0,999.0
2,21,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
2,21,late,surgery,Surgical Care,0,3,1,5,0.6,1.5,999.0
2,21,late,critical_care,Critical Care,3,5,1,4,1.25,2.5,999.0
2,21,late,step_down,Step Down,0,3,2,5,0.6,0.75,11.25
2,22,late,emergency_walkin,Emergency Walk-in,5,14,7,32,0.4375,1.0,999.0
2,22,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
2,22,late,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
2,22,late,critical_care,Critical Care,0,3,1,4,0.75,1.5,999.0
2,22,late,step_down,Step Down,2,4,2,5,0.8,1.0,999.0
2,23,late,emergency_walkin,Emergency Walk-in,4,13,7,32,0.40625,0.9285714285714286,13.928571428571436
2,23,late,emergency_ambulance,Emergency Ambulance,0,2,1,5,0.4,1.0,999.0
2,23,late,surgery,Surgical Care,1,3,1,5,0.6,1.5,999.0
2,23,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
2,23,late,step_down,Step Down,1,4,2,5,0.8,1.0,999.0
2,24,late,emergency_walkin,Emergency Walk-in,8,16,7,32,0.5,1.1428571428571428,999.0
2,24,late,emergency_ambulance,Emergency Ambulance,1,3,1,5,0.6,1.5,999.0
2,24,late,surgery,Surgical Care,0,2,1,5,0.4,1.0,999.0
2,24,late,critical_care,Critical Care,0,2,1,4,0.5,1.0,999.0
2,24,late,step_down,Step Down,1,4,2,5,0.8,1.0,999.0
3,1,early,emergency_walkin,Emergency Walk-in,4,4,7,29,0.13793103448275862,0.2857142857142857,0.42857142857142855
3,1,early,emergency_ambulance,Emergency Ambulance,0,0,1,6,0.0,0.0,0.0
3,1,early,surgery,Surgical Care,1,1,1,5,0.2,0.5,7.5
3,1,early,critical_care,Critical Care,1,1,1,5,0.2,0.5,7.5
3,1,early,step_down,Step Down,0,0,2,6,0.0,0.0,0.0
3,2,early,emergency_walkin,Emergency Walk-in,5,8,7,29,0.27586206896551724,0.5714285714285714,1.4285714285714284
3,2,early,emergency_ambulance,Emergency Ambulance,1,1,1,6,0.16666666666666666,0.5,7.5
