replication,hour,phase,dept,dept_name,arrivals,patients,staff,beds,bed_util,staff_util,wait
1,1,early,emergency_walkin,Emergency Walk-in,10,10,2,15,0.6666666666666666,2.5,999.0
1,1,early,emergency_ambulance,Emergency Ambulance,1,1,2,10,0.1,0.25,1.25
1,1,early,surgery,Surgical Care,0,0,2,8,0.0,0.0,0.0
1,1,early,critical_care,Critical Care,0,0,2,6,0.0,0.0,0.0
1,1,early,step_down,Step Down,0,0,2,12,0.0,0.0,0.0
1,2,early,emergency_walkin,Emergency Walk-in,5,11,2,15,0.7333333333333333,2.75,999.0
1,2,early,emergency_ambulance,Emergency Ambulance,0,1,2,10,0.1,0.25,1.25
1,2,early,surgery,Surgical Care,1,1,2,8,0.125,0.25,1.25
1,2,early,critical_care,Critical Care,0,0,2,6,0.0,0.0,0.0
1,2,early,step_down,Step Down,0,0,2,12,0.0,0.0,0.0
1,3,early,emergency_walkin,Emergency Walk-in,7,14,2,15,0.9333333333333333,3.5,999.0
1,3,early,emergency_ambulance,Emergency Ambulance,0,1,2,10,0.1,0.25,1.25
1,3,early,surgery,Surgical Care,0,1,2,8,0.125,0.25,1.25
1,3,early,critical_care,Critical Care,0,0,2,6,0.0,0.0,0.0
1,3,early,step_down,Step Down,0,0,2,12,0.0,0.0,0.0
1,4,early,emergency_walkin,Emergency Walk-in,5,14,2,15,0.9333333333333333,3.5,999.0
1,4,early,emergency_ambulance,Emergency Ambulance,1,2,2,10,0.2,0.5,3.75
1,4,early,surgery,Surgical Care,1,2,2,8,0.25,0.5,3.75
1,4,early,critical_care,Critical Care,0,0,2,6,0.0,0.0,0.0
1,4,early,step_down,Step Down,3,3,2,12,0.25,0.75,11.25
1,5,early,emergency_walkin,Emergency Walk-in,3,12,2,15,0.8,3.0,999.0
1,5,early,emergency_ambulance,Emergency Ambulance,1,3,2,10,0.3,0.75,11.25
1,5,early,surgery,Surgical Care,0,2,2,8,0.25,0.5,3.75
1,5,early,critical_care,Critical Care,0,0,2,6,0.0,0.0,0.0
1,5,early,step_down,Step Down,0,2,2,12,0.16666666666666666,0.5,3.75
1,6,early,emergency_walkin,Emergency Walk-in,3,11,2,15,0.7333333333333333,2.75,999.0
